postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines) ,Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB) for lines < 10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Average data usage (GB),Median download speed (Mbit/s)__Score,Overall_Score
AB106PF,AB10 6PF,AB,0.17941952506596306,31.0,11.6,80.0,7.1,16.4,64.7,,1.2,6.5,1.0,20.0,0.8,1.6,17.8,,,6.0,4.0,23.0,10.0,,10.0,51.0,45.0,63.0,,51,-0.9895187475204809,0.9279588058881068
AB106PH,AB10 6PH,AB,0.1503957783641161,28.9,13.1,64.3,7.1,13.9,47.6,,1.1,6.4,0.9,20.0,0.8,1.0,13.0,,,6.0,4.0,5.0,4.0,,4.0,51.0,168.0,376.0,,261,-1.3050174786139674,0.9279588058881068
AB106PJ,AB10 6PJ,AB,0.5699208443271768,49.1,9.2,80.0,9.5,16.5,63.5,,10.0,11.7,0.9,20.0,1.1,1.2,15.9,,,6.0,4.0,5.0,10.0,,10.0,265.0,104.0,388.0,,330,3.2553732708282475,0.9279588058881068
AB106PL,AB10 6PL,AB,0.46437994722955145,43.7,3.8,80.0,5.5,16.2,62.4,,9.9,11.0,1.0,20.0,1.1,1.1,16.9,,,6.0,4.0,4.0,10.0,,10.0,21.0,526.0,246.0,,291,2.108105157761023,0.9279588058881068
AB106PN,AB10 6PN,AB,0.09894459102902373,28.5,2.4,80.0,7.6,11.3,56.3,,1.2,6.3,0.2,20.0,0.8,1.2,14.1,,,6.0,7.0,8.0,11.0,,11.0,266.0,164.0,169.0,,197,-1.8643106837342394,0.9279588058881068
AB106PP,AB10 6PP,AB,0.11345646437994725,33.3,2.0,80.0,6.3,12.4,61.1,,1.2,8.0,0.8,20.0,1.4,1.1,15.8,,,4.0,13.0,18.0,30.0,,30.0,114.0,205.0,293.0,,221,-1.7065613181874957,0.9279588058881068
AB106PQ,AB10 6PQ,AB,0.05145118733509234,18.9,1.0,40.0,6.2,20.2,36.6,,1.1,3.6,0.4,10.0,1.5,1.3,6.8,,,4.0,9.0,18.0,10.0,,10.0,77.0,255.0,293.0,,171,-2.3805813346144897,0.9279588058881068
AB106PR,AB10 6PR,AB,0.3733509234828496,35.1,4.1,80.0,5.7,10.1,63.6,,5.6,8.9,0.4,20.0,0.7,1.2,17.1,,,4.0,9.0,18.0,5.0,,5.0,61.0,89.0,90.0,,79,1.1185864102405427,0.9279588058881068
AB106PS,AB10 6PS,AB,0.3403693931398417,31.9,6.5,80.0,8.2,15.6,52.3,,4.0,7.0,0.8,20.0,1.0,3.0,12.1,,,4.0,8.0,6.0,14.0,,14.0,89.0,99.0,404.0,,250,0.7600651249070356,0.9279588058881068
AB106PT,AB10 6PT,AB,0.3627968337730871,34.9,9.2,69.6,9.2,19.5,52.8,,8.2,8.7,1.1,20.0,1.1,4.1,14.1,,,4.0,8.0,6.0,4.0,,4.0,46.0,188.0,269.0,,211,1.0038595989338204,0.9279588058881068
AB106PU,AB10 6PU,AB,0.2216358839050132,28.0,13.8,75.4,9.2,18.5,43.6,,1.3,4.9,0.8,17.7,1.1,1.2,10.9,,,4.0,8.0,13.0,8.0,,8.0,46.0,213.0,251.0,,228,-0.5306115022935912,0.9279588058881068
AB106PW,AB10 6PW,AB,0.47229551451187335,40.9,11.0,80.0,9.2,14.5,51.0,,10.0,10.0,0.9,20.0,1.1,1.1,13.5,,,4.0,8.0,5.0,13.0,,13.0,46.0,186.0,298.0,,271,2.1941502662410652,0.9279588058881068
AB106PX,AB10 6PX,AB,0.20976253298153036,28.7,9.0,80.0,9.0,19.1,64.9,,1.2,4.4,0.8,20.0,0.8,1.1,16.3,,,4.0,8.0,28.0,8.0,,8.0,126.0,250.0,319.0,,254,-0.6596791650136539,0.9279588058881068
AB106PY,AB10 6PY,AB,0.47229551451187335,41.8,13.3,80.0,9.0,16.1,58.9,,10.0,9.0,1.1,20.0,0.8,1.2,14.2,,,4.0,8.0,8.0,12.0,,12.0,126.0,280.0,494.0,,409,2.1941502662410652,0.9279588058881068
AB106QA,AB10 6QA,AB,0.2071240105540897,26.0,9.1,79.9,9.1,17.9,46.9,,1.3,4.2,0.7,20.0,1.0,1.1,11.8,,,4.0,8.0,16.0,7.0,,7.0,11.0,326.0,115.0,,241,-0.6883608678403349,0.9279588058881068
AB106QB,AB10 6QB,AB,0.1266490765171504,20.7,4.9,67.6,6.7,14.4,47.4,,1.1,3.6,0.6,20.0,1.0,1.1,12.4,,,4.0,4.0,23.0,8.0,,8.0,48.0,162.0,257.0,,171,-1.5631528040540927,0.9279588058881068
AB106QD,AB10 6QD,AB,0.2216358839050132,30.5,2.8,80.0,5.9,17.8,52.3,,1.3,5.9,0.9,20.0,1.0,1.5,13.2,,,4.0,4.0,22.0,15.0,,15.0,52.0,247.0,311.0,,269,-0.5306115022935912,0.9279588058881068
AB106QE,AB10 6QE,AB,0.2955145118733509,31.8,3.4,78.6,7.2,13.5,53.0,,5.9,7.7,0.4,20.0,1.2,1.1,14.2,,,4.0,12.0,16.0,30.0,,30.0,205.0,234.0,226.0,,224,0.27247617685346526,0.9279588058881068
AB106QF,AB10 6QF,AB,0.18601583113456466,28.5,8.5,80.0,8.5,17.5,64.0,,1.2,6.2,0.8,20.0,1.1,1.8,19.7,,,4.0,12.0,11.0,4.0,,4.0,205.0,154.0,154.0,,144,-0.9178144904537793,0.9279588058881068
AB106QG,AB10 6QG,AB,0.47229551451187335,38.4,2.7,78.1,5.9,23.6,59.8,,10.0,10.1,0.8,20.0,1.0,5.6,16.1,,,4.0,12.0,11.0,9.0,,9.0,130.0,153.0,174.0,,158,2.1941502662410652,0.9279588058881068
AB106QH,AB10 6QH,AB,0.6701846965699209,47.3,5.3,71.7,8.1,23.6,57.7,,10.0,11.4,1.0,20.0,1.1,5.6,14.1,,,4.0,4.0,11.0,15.0,,15.0,33.0,153.0,212.0,,175,4.34527797824211,0.9279588058881068
AB106QJ,AB10 6QJ,AB,0.15435356200527706,20.8,9.3,49.0,9.3,16.2,41.8,,1.1,2.7,0.6,10.0,1.1,1.1,9.9,,,4.0,4.0,29.0,7.0,,7.0,280.0,183.0,282.0,,205,-1.2619949243739466,0.9279588058881068
AB106QL,AB10 6QL,AB,0.3614775725593668,35.0,3.8,80.0,3.8,15.5,54.1,,8.5,7.6,0.5,20.0,0.5,1.6,13.2,,,4.0,4.0,15.0,17.0,,17.0,81.0,207.0,228.0,,214,0.9895187475204806,0.9279588058881068
AB106QN,AB10 6QN,AB,0.18469656992084432,33.1,6.7,80.0,6.7,16.1,64.3,,1.3,6.8,0.8,20.0,0.8,1.5,16.3,,,4.0,4.0,26.0,15.0,,15.0,334.0,152.0,401.0,,245,-0.9321553418671198,0.9279588058881068
AB106QP,AB10 6QP,AB,0.16490765171503957,33.0,9.9,80.0,9.9,15.7,63.9,,1.2,7.1,1.0,20.0,1.1,1.2,17.5,,,4.0,4.0,13.0,8.0,,8.0,164.0,245.0,410.0,,301,-1.1472681130672242,0.9279588058881068
AB106QQ,AB10 6QQ,AB,0.2519788918205805,34.6,7.9,80.0,7.9,15.5,56.4,,4.0,8.1,0.4,20.0,0.8,1.5,15.6,,,4.0,4.0,17.0,16.0,,16.0,201.0,177.0,352.0,,263,-0.2007719197867646,0.9279588058881068
AB106QR,AB10 6QR,AB,0.11741424802110817,17.4,6.4,78.5,8.0,13.2,54.4,,1.0,2.9,0.5,19.9,0.9,1.1,15.1,,,4.0,5.0,15.0,16.0,,16.0,55.0,273.0,180.0,,213,-1.663538763947475,0.9279588058881068
AB106QS,AB10 6QS,AB,0.1662269129287599,30.2,4.1,78.7,4.1,13.3,54.3,,1.2,6.7,0.8,20.0,0.9,1.1,14.2,,,4.0,5.0,7.0,6.0,,6.0,143.0,285.0,292.0,,278,-1.1329272616538837,0.9279588058881068
AB106QT,AB10 6QT,AB,0.1424802110817942,21.9,1.0,80.0,4.3,14.3,48.0,,1.1,4.2,0.2,20.0,0.6,1.1,12.0,,,4.0,5.0,8.0,5.0,,5.0,100.0,425.0,399.0,,337,-1.3910625870940092,0.9279588058881068
AB106QU,AB10 6QU,AB,0.575197889182058,42.7,5.2,80.0,7.2,15.7,64.5,,17.1,13.0,0.7,20.0,10.3,3.6,17.7,,,4.0,5.0,8.0,7.0,,7.0,5.0,238.0,186.0,,169,3.312736676481608,0.9279588058881068
AB106QW,AB10 6QW,AB,0.4591029023746702,32.0,3.5,76.7,4.8,22.4,47.2,,9.9,8.3,0.5,19.5,0.8,13.0,11.3,,,4.0,5.0,8.0,6.0,,6.0,129.0,42.0,531.0,,362,2.0507417521076623,0.9279588058881068
AB106QX,AB10 6QX,AB,0.15567282321899736,34.3,1.5,80.0,1.5,14.6,59.9,,1.3,7.6,0.4,20.0,0.4,1.1,15.7,,,4.0,5.0,14.0,12.0,,12.0,106.0,302.0,453.0,,362,-1.2476540729606063,0.9279588058881068
AB106QY,AB10 6QY,AB,0.316622691292876,32.1,11.9,68.0,1.5,14.6,49.7,,5.6,7.8,1.0,20.0,0.4,1.2,14.4,,,4.0,5.0,4.0,4.0,,4.0,106.0,76.0,197.0,,136,0.5019297994669102,0.9279588058881068
AB106RA,AB10 6RA,AB,0.25329815303430075,33.1,1.9,80.0,6.0,14.3,56.0,,4.5,8.0,0.3,20.0,0.9,1.4,15.4,,,4.0,5.0,20.0,27.0,,27.0,66.0,267.0,224.0,,214,-0.18643106837342469,0.9279588058881068
AB106RB,AB10 6RB,AB,0.14511873350923482,28.0,5.8,80.0,7.7,13.9,55.8,,1.3,6.2,0.6,20.0,0.8,1.9,14.4,,,4.0,5.0,9.0,6.0,,6.0,198.0,255.0,285.0,,259,-1.3623808842673288,0.9279588058881068
AB106RD,AB10 6RD,AB,0.1345646437994723,26.1,6.6,73.6,8.2,13.8,49.9,,1.2,6.3,0.8,20.0,1.0,1.1,15.4,,,4.0,5.0,14.0,11.0,,11.0,124.0,190.0,184.0,,177,-1.477107695574051,0.9279588058881068
AB106RE,AB10 6RE,AB,0.11741424802110817,27.5,4.2,80.0,6.1,12.3,55.8,,1.2,5.8,0.5,20.0,0.9,1.1,14.3,,,4.0,5.0,22.0,14.0,,14.0,33.0,115.0,151.0,,119,-1.663538763947475,0.9279588058881068
AB106RF,AB10 6RF,AB,0.3562005277044855,28.1,1.0,65.2,5.9,14.0,46.5,,3.3,6.9,0.5,20.0,1.0,1.8,12.4,,,4.0,8.0,10.0,22.0,,22.0,104.0,291.0,336.0,,261,0.9321553418671192,0.9279588058881068
AB106RG,AB10 6RG,AB,0.15963060686015831,27.3,2.7,80.0,7.3,14.4,60.9,,1.2,5.8,0.3,20.0,0.7,1.1,17.4,,,4.0,8.0,24.0,11.0,,11.0,67.0,262.0,260.0,,245,-1.2046315187205854,0.9279588058881068
AB106RH,AB10 6RH,AB,0.1437994722955145,28.9,11.2,71.6,7.3,13.7,50.7,,1.3,6.9,1.0,20.0,0.7,1.2,15.1,,,4.0,8.0,10.0,7.0,,7.0,67.0,361.0,201.0,,291,-1.376721735680669,0.9279588058881068
AB106RJ,AB10 6RJ,AB,0.4986807387862797,39.9,7.7,74.0,8.5,12.4,53.2,,10.0,10.9,0.9,20.0,1.1,1.1,15.5,,,4.0,8.0,5.0,15.0,,15.0,128.0,169.0,404.0,,325,2.4809672945078716,0.9279588058881068
AB106RL,AB10 6RL,AB,0.1279683377308707,12.8,5.3,17.4,5.3,14.1,53.2,,1.1,1.1,0.9,1.3,1.0,1.1,15.5,,,4.0,8.0,6.0,15.0,,15.0,257.0,181.0,404.0,,192,-1.5488119526407524,0.9279588058881068
AB106RN,AB10 6RN,AB,0.47229551451187335,35.5,2.3,65.8,4.0,11.7,47.9,,6.0,7.6,0.4,20.0,0.8,1.1,10.5,,,4.0,8.0,6.0,7.0,,7.0,17.0,31.0,298.0,,206,2.1941502662410652,0.9279588058881068
AB106RP,AB10 6RP,AB,0.4445910290237467,36.8,7.6,75.3,7.6,15.7,53.6,,9.5,8.7,1.0,20.0,1.0,2.5,13.6,,,4.0,8.0,5.0,8.0,,8.0,367.0,132.0,402.0,,303,1.8929923865609188,0.9279588058881068
AB106RQ,AB10 6RQ,AB,0.11873350923482848,19.4,3.9,78.4,6.7,13.8,53.9,,1.1,3.2,0.4,20.0,0.9,1.1,12.5,,,4.0,5.0,11.0,4.0,,4.0,118.0,157.0,270.0,,168,-1.6491979125341347,0.9279588058881068
AB106RS,AB10 6RS,AB,0.47229551451187335,40.5,4.6,79.9,8.3,16.2,62.8,,10.0,9.8,0.7,20.0,1.0,2.0,16.2,,,4.0,5.0,4.0,13.0,,13.0,134.0,298.0,230.0,,217,2.1941502662410652,0.9279588058881068
AB106RT,AB10 6RT,AB,0.14643799472295516,28.6,5.8,80.0,8.0,13.6,52.4,,1.2,6.5,0.4,20.0,0.9,1.5,13.6,,,4.0,13.0,17.0,22.0,,22.0,79.0,158.0,259.0,,181,-1.3480400328539883,0.9279588058881068
AB106RU,AB10 6RU,AB,0.47229551451187335,40.7,9.2,80.0,9.2,14.5,53.0,,10.0,9.3,1.0,20.0,1.0,1.1,13.0,,,4.0,13.0,17.0,9.0,,9.0,385.0,82.0,252.0,,223,2.1941502662410652,0.9279588058881068
AB106RX,AB10 6RX,AB,0.18733509234828494,25.5,10.2,76.3,9.2,16.7,51.7,,1.2,4.3,0.6,20.0,1.0,1.1,13.7,,,4.0,13.0,24.0,8.0,,8.0,385.0,179.0,500.0,,265,-0.9034736390404394,0.9279588058881068
AB106RY,AB10 6RY,AB,0.4696569920844327,34.8,10.2,80.0,9.2,13.0,47.9,,10.0,7.9,0.8,20.0,1.0,1.0,12.0,,,4.0,13.0,24.0,5.0,,5.0,385.0,25.0,241.0,,160,2.165468563414384,0.9279588058881068
AB106SA,AB10 6SA,AB,0.16886543535620052,28.8,8.5,77.7,8.5,15.2,47.1,,1.3,5.5,0.9,20.0,1.1,1.1,11.3,,,4.0,13.0,16.0,13.0,,13.0,236.0,135.0,260.0,,192,-1.1042455588272033,0.9279588058881068
AB106SB,AB10 6SB,AB,0.1662269129287599,23.8,3.1,80.0,6.7,16.9,69.9,,1.1,3.6,0.4,20.0,0.7,1.1,17.4,,,4.0,13.0,17.0,4.0,,4.0,75.0,195.0,120.0,,160,-1.1329272616538837,0.9279588058881068
AB106SD,AB10 6SD,AB,0.18865435356200527,27.6,3.6,79.9,5.8,17.1,53.6,,1.2,5.2,0.4,20.0,1.6,1.2,14.5,,,4.0,13.0,23.0,11.0,,11.0,57.0,160.0,172.0,,153,-0.8891327876270989,0.9279588058881068
AB106SE,AB10 6SE,AB,0.1517150395778364,29.1,4.3,80.0,6.7,15.4,62.3,,1.2,6.2,0.8,20.0,0.9,2.1,15.2,,,4.0,13.0,4.0,11.0,,11.0,325.0,177.0,341.0,,264,-1.2906766272006271,0.9279588058881068
AB106SF,AB10 6SF,AB,0.5013192612137204,38.9,3.6,80.0,5.7,12.8,56.6,,10.0,10.8,0.8,20.0,0.9,1.1,16.7,,,4.0,13.0,4.0,10.0,,10.0,201.0,55.0,216.0,,183,2.5096489973345526,0.9279588058881068
AB106SG,AB10 6SG,AB,0.47229551451187335,37.2,2.6,67.9,4.1,12.8,50.4,,10.0,8.6,0.9,20.0,1.1,1.1,11.6,,,4.0,13.0,4.0,5.0,,5.0,6.0,55.0,445.0,,319,2.1941502662410652,0.9279588058881068
AB106SH,AB10 6SH,AB,0.6477572559366754,42.8,5.1,76.1,6.3,11.1,58.0,,14.1,11.9,1.0,20.0,1.1,1.1,16.7,,,4.0,13.0,4.0,9.0,,9.0,2.0,59.0,199.0,,147,4.101483504215325,0.9279588058881068
AB106SJ,AB10 6SJ,AB,0.19656992084432717,33.6,0.4,80.0,4.5,15.6,57.3,,1.3,7.3,0.4,20.0,0.7,1.0,14.6,,,4.0,13.0,11.0,12.0,,12.0,106.0,210.0,458.0,,307,-0.8030876791470571,0.9279588058881068
AB106SL,AB10 6SL,AB,0.14907651715039577,25.5,1.4,80.0,5.7,15.6,55.1,,1.2,5.0,0.5,20.0,0.9,1.1,14.6,,,4.0,13.0,20.0,10.0,,10.0,110.0,224.0,278.0,,223,-1.3193583300273077,0.9279588058881068
AB106SN,AB10 6SN,AB,0.17414248021108178,32.2,6.4,80.0,6.4,15.8,58.9,,1.3,6.2,0.8,20.0,0.8,1.1,14.4,,,4.0,13.0,26.0,17.0,,17.0,194.0,388.0,256.0,,334,-1.0468821531738424,0.9279588058881068
AB106SP,AB10 6SP,AB,0.1662269129287599,23.4,3.1,79.9,5.1,16.1,60.0,,1.2,4.1,0.6,20.0,0.9,1.1,15.0,,,4.0,13.0,10.0,4.0,,4.0,403.0,191.0,230.0,,237,-1.1329272616538837,0.9279588058881068
AB106SQ,AB10 6SQ,AB,0.16094986807387862,25.0,4.4,80.0,7.0,15.8,51.1,,1.2,4.4,0.8,20.0,1.0,1.1,12.8,,,4.0,13.0,16.0,7.0,,7.0,149.0,227.0,203.0,,214,-1.190290667307245,0.9279588058881068
AB106SR,AB10 6SR,AB,0.14511873350923482,24.4,8.1,76.2,8.7,14.7,57.5,,1.1,4.2,0.6,20.0,1.0,1.1,14.5,,,4.0,13.0,24.0,8.0,,8.0,25.0,155.0,313.0,,185,-1.3623808842673288,0.9279588058881068
AB106SS,AB10 6SS,AB,0.15963060686015831,29.6,1.9,80.0,6.9,15.4,57.9,,1.2,6.8,0.4,20.0,0.7,1.1,17.0,,,4.0,4.0,16.0,12.0,,12.0,55.0,178.0,338.0,,217,-1.2046315187205854,0.9279588058881068
AB106ST,AB10 6ST,AB,0.16886543535620052,30.0,13.3,80.0,6.9,16.3,67.6,,1.2,5.3,0.9,20.0,0.7,1.2,16.6,,,4.0,4.0,11.0,4.0,,4.0,55.0,179.0,339.0,,214,-1.1042455588272033,0.9279588058881068
AB106SU,AB10 6SU,AB,0.133245382585752,29.6,11.9,55.0,6.9,13.5,53.7,,1.1,4.4,1.0,10.0,0.7,1.0,9.4,,,4.0,4.0,11.0,4.0,,4.0,55.0,132.0,93.0,,116,-1.491448546987391,0.9279588058881068
AB106SX,AB10 6SX,AB,0.15831134564643798,19.0,11.1,69.7,6.9,15.4,51.9,,1.1,1.9,0.8,9.3,0.7,1.1,9.2,,,4.0,4.0,18.0,4.0,,4.0,55.0,175.0,94.0,,167,-1.218972370133926,0.9279588058881068
AB106TA,AB10 6TA,AB,0.16490765171503957,26.6,3.9,80.0,6.2,16.0,63.3,,1.2,5.0,0.3,20.0,0.6,1.4,16.3,,,4.0,4.0,15.0,6.0,,6.0,280.0,210.0,333.0,,249,-1.1472681130672242,0.9279588058881068
AB106TB,AB10 6TB,AB,0.14511873350923482,25.1,2.4,79.9,3.2,14.3,68.6,,1.1,5.1,0.5,20.0,0.6,0.9,20.0,,,4.0,4.0,12.0,4.0,,4.0,38.0,161.0,152.0,,145,-1.3623808842673288,0.9279588058881068
AB106TD,AB10 6TD,AB,0.133245382585752,17.6,6.8,61.0,8.2,14.5,56.4,,1.1,2.4,0.7,19.6,1.0,1.1,14.7,,,4.0,4.0,16.0,4.0,,4.0,72.0,271.0,475.0,,262,-1.491448546987391,0.9279588058881068
AB106TE,AB10 6TE,AB,0.14643799472295516,33.5,5.5,80.0,7.9,13.1,60.7,,1.2,7.2,0.8,20.0,1.0,1.1,15.0,,,4.0,4.0,15.0,15.0,,15.0,105.0,300.0,383.0,,314,-1.3480400328539883,0.9279588058881068
AB106TF,AB10 6TF,AB,0.7203166226912928,45.3,7.0,80.0,7.8,13.1,64.0,,18.7,12.2,1.1,20.0,1.1,1.1,17.7,,,4.0,4.0,15.0,6.0,,6.0,102.0,300.0,284.0,,224,4.8902303319490406,0.9279588058881068
AB106TJ,AB10 6TJ,AB,0.14511873350923482,27.7,5.1,67.8,8.1,13.8,46.2,,1.3,6.1,1.0,20.0,1.1,1.4,11.6,,,4.0,7.0,14.0,18.0,,18.0,228.0,241.0,387.0,,306,-1.3623808842673288,0.9279588058881068
AB106TP,AB10 6TP,AB,0.11873350923482848,23.3,9.2,79.9,9.5,12.7,50.9,,1.2,4.8,0.6,20.0,1.0,1.1,14.2,,,4.0,7.0,17.0,8.0,,8.0,123.0,148.0,323.0,,198,-1.6491979125341347,0.9279588058881068
AB106TQ,AB10 6TQ,AB,0.46437994722955145,30.5,9.5,63.7,9.5,13.2,46.6,,9.8,7.4,0.8,20.0,1.0,1.1,13.2,,,4.0,7.0,10.0,12.0,,12.0,155.0,219.0,260.0,,238,2.108105157761023,0.9279588058881068
AB106TR,AB10 6TR,AB,0.14511873350923482,22.2,8.9,71.8,9.3,14.6,47.8,,1.3,4.6,0.6,20.0,0.7,1.6,14.3,,,4.0,7.0,17.0,6.0,,6.0,166.0,316.0,268.0,,284,-1.3623808842673288,0.9279588058881068
AB106TS,AB10 6TS,AB,0.14907651715039577,27.2,10.4,67.3,9.3,13.8,52.5,,1.2,5.9,1.0,20.0,0.7,1.1,14.8,,,4.0,7.0,17.0,9.0,,9.0,166.0,173.0,405.0,,257,-1.3193583300273077,0.9279588058881068
AB106UQ,AB10 6UQ,AB,0.16886543535620052,19.8,7.0,67.6,8.7,17.6,39.5,,1.2,3.3,0.4,20.0,1.0,2.6,8.7,,,4.0,4.0,25.0,5.0,,5.0,223.0,195.0,328.0,,218,-1.1042455588272033,0.9279588058881068
AB106UR,AB10 6UR,AB,0.24010554089709762,28.1,4.0,79.9,4.6,14.6,45.1,,5.6,5.3,0.8,20.0,1.0,2.3,9.0,,,4.0,4.0,13.0,13.0,,13.0,171.0,265.0,222.0,,238,-0.32983958250682727,0.9279588058881068
AB106US,AB10 6US,AB,0.47229551451187335,44.0,10.4,80.0,4.6,14.1,62.4,,10.0,9.9,0.8,20.0,1.0,1.1,15.4,,,4.0,4.0,8.0,13.0,,13.0,171.0,225.0,305.0,,274,2.1941502662410652,0.9279588058881068
AB106UT,AB10 6UT,AB,0.5910290237467019,43.1,7.8,76.6,8.9,13.7,56.6,,10.0,10.9,0.8,20.0,0.9,1.6,15.0,,,4.0,4.0,5.0,16.0,,16.0,14.0,392.0,192.0,,212,3.4848268934416917,0.9279588058881068
AB106UX,AB10 6UX,AB,0.3839050131926121,31.9,3.8,69.1,7.3,19.3,48.9,,10.0,8.2,0.5,20.0,1.0,3.8,13.4,,,4.0,8.0,4.0,16.0,,16.0,72.0,98.0,293.0,,197,1.2333132215472649,0.9279588058881068
AB106WE,AB10 6WE,AB,0.18073878627968337,31.5,13.9,80.0,7.3,17.1,67.5,,1.3,5.6,1.0,20.0,1.0,1.8,15.0,,,4.0,8.0,10.0,4.0,,4.0,72.0,70.0,26.0,,57,-0.9751778961071407,0.9279588058881068
AB106XA,AB10 6XA,AB,0.47229551451187335,47.2,5.5,79.9,6.6,17.3,56.9,,10.0,12.3,0.9,20.0,1.1,2.6,15.2,,,4.0,8.0,5.0,28.0,,28.0,36.0,308.0,300.0,,278,2.1941502662410652,0.9279588058881068
AB106XB,AB10 6XB,AB,0.49604221635883905,47.4,2.3,80.0,5.8,15.7,63.1,,10.0,11.5,0.3,20.0,0.7,1.0,16.0,,,4.0,8.0,5.0,14.0,,14.0,15.0,221.0,302.0,,241,2.4522855916811905,0.9279588058881068
AB106XD,AB10 6XD,AB,0.6965699208443272,46.7,6.7,80.0,7.2,14.2,60.3,,17.3,13.0,0.8,20.0,1.1,1.0,17.6,,,4.0,8.0,5.0,13.0,,13.0,280.0,73.0,145.0,,148,4.632095006508916,0.9279588058881068
AB106XE,AB10 6XE,AB,0.237467018469657,30.8,9.3,80.0,9.3,18.3,66.7,,5.2,7.8,0.9,20.0,0.9,3.4,20.0,,,4.0,8.0,4.0,13.0,,13.0,236.0,56.0,211.0,,138,-0.35852128533350763,0.9279588058881068
AB106XF,AB10 6XF,AB,0.2941952506596306,28.2,12.9,55.0,9.3,15.2,41.2,,3.7,4.4,1.1,10.0,0.9,1.2,7.6,,,4.0,8.0,4.0,4.0,,4.0,236.0,31.0,121.0,,76,0.25813532544012474,0.9279588058881068
AB106XJ,AB10 6XJ,AB,0.7084432717678101,46.5,6.5,79.3,6.5,21.3,59.3,,16.4,12.6,1.2,20.0,1.2,2.3,17.3,,,4.0,8.0,4.0,9.0,,9.0,8.0,407.0,200.0,,233,4.761162669228979,0.9279588058881068
AB106XL,AB10 6XL,AB,0.13192612137203166,25.1,5.2,67.0,7.2,14.2,49.4,,1.1,6.0,0.8,20.0,1.0,1.7,14.8,,,4.0,8.0,13.0,8.0,,8.0,179.0,211.0,424.0,,286,-1.5057893984007316,0.9279588058881068
AB106XN,AB10 6XN,AB,0.4340369393139842,31.3,6.0,78.1,7.1,12.2,48.7,,5.8,7.7,0.8,20.0,1.1,1.1,13.0,,,4.0,6.0,6.0,15.0,,15.0,60.0,182.0,174.0,,151,1.7782655752541965,0.9279588058881068
AB106XP,AB10 6XP,AB,0.45778364116094983,30.3,0.7,78.3,0.7,13.5,46.8,,10.0,7.3,0.2,20.0,0.2,1.5,12.7,,,4.0,6.0,9.0,11.0,,11.0,39.0,121.0,187.0,,152,2.0364009006943213,0.9279588058881068
AB106XQ,AB10 6XQ,AB,0.133245382585752,27.4,6.6,76.3,8.3,13.2,55.9,,1.2,6.4,0.6,20.0,1.0,1.2,16.2,,,4.0,6.0,12.0,8.0,,8.0,95.0,196.0,160.0,,170,-1.491448546987391,0.9279588058881068
AB106XR,AB10 6XR,AB,0.30474934036939316,33.2,2.3,79.7,6.2,13.6,56.1,,5.1,8.9,0.7,20.0,1.0,1.1,16.7,,,4.0,4.0,6.0,11.0,,11.0,211.0,178.0,281.0,,237,0.37286213674684754,0.9279588058881068
AB106XS,AB10 6XS,AB,0.18601583113456466,28.2,7.8,66.7,8.8,14.6,46.2,,1.3,5.7,1.0,19.7,1.1,1.3,11.3,,,4.0,4.0,13.0,12.0,,12.0,205.0,150.0,294.0,,218,-0.9178144904537793,0.9279588058881068
AB106XT,AB10 6XT,AB,0.13192612137203166,21.6,6.3,80.0,7.7,14.0,63.0,,1.1,3.8,0.7,20.0,1.1,1.1,17.1,,,4.0,4.0,18.0,4.0,,4.0,165.0,145.0,263.0,,167,-1.5057893984007316,0.9279588058881068
AB106XX,AB10 6XX,AB,0.14511873350923482,33.8,7.3,80.0,8.2,13.3,60.0,,1.2,7.6,1.0,20.0,1.0,1.1,15.5,,,4.0,4.0,9.0,9.0,,9.0,196.0,196.0,330.0,,257,-1.3623808842673288,0.9279588058881068
AB106YA,AB10 6YA,AB,0.12928759894459102,22.0,6.5,74.5,7.1,14.5,61.6,,1.1,4.4,0.8,20.0,1.0,1.6,17.3,,,4.0,4.0,15.0,4.0,,4.0,120.0,166.0,180.0,,162,-1.5344711012274124,0.9279588058881068
