ID,Price,Date,Postcode,Type,New,Duration,PANN,SANON,Street,Locality,Town,District,Country,Product_Category,Product_Status,Price__Score,Overall_Score
{09266DDC-2AF5-AF90-E063-4704A8C02087},0.07584049407066698,2023-04-28 00:00,NE33 5EJ,D,N,F,5,,ELDON STREET,,SOUTH SHIELDS,SOUTH TYNESIDE,TYNE AND WEAR,A,A,-1.1530640606834677,0.9279588058881068
{09266DDC-2AF6-AF90-E063-4704A8C02087},0.14515750927595042,2023-09-12 00:00,NE38 8FH,D,N,F,26,,EDALE CLOSE,,WASHINGTON,SUNDERLAND,TYNE AND WEAR,A,A,0.04979249615826442,0.9279588058881068
{09266DDC-2AF8-AF90-E063-4704A8C02087},0.08655128650763498,2023-09-01 00:00,NE31 1RH,D,N,F,111,,ST ALOYSIUS VIEW,,HEBBURN,SOUTH TYNESIDE,TYNE AND WEAR,A,A,-0.9671999279936372,0.9279588058881068
{09266DDC-2AF9-AF90-E063-4704A8C02087},0.07523422280064992,2023-09-26 00:00,NE9 7SL,S,N,F,KIMBERLEY,,STAFFORD VILLAS,,GATESHEAD,SUNDERLAND,TYNE AND WEAR,A,A,-1.1635846719677976,0.9279588058881068
{09266DDC-2AFB-AF90-E063-4704A8C02087},0.18153378547697382,2023-09-08 00:00,SR6 7XH,D,N,F,16,,SUNNISIDE LEIGH,CLEADON,SUNDERLAND,SOUTH TYNESIDE,TYNE AND WEAR,A,A,0.6810291732180659,0.9279588058881068
{09266DDC-2AFC-AF90-E063-4704A8C02087},0.03643286151955831,2023-08-18 00:00,NE29 8DJ,F,N,L,37,,STIRLING DRIVE,CLEADON,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A,-1.836903794164919,0.9279588058881068
{09266DDC-2AFD-AF90-E063-4704A8C02087},0.09665580767458591,2023-10-09 00:00,NE2 2HS,F,N,L,DULVERTON COURT,39,ADDERSTONE CRESCENT,CLEADON,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A,-0.791856406588137,0.9279588058881068
{09266DDC-2AFF-AF90-E063-4704A8C02087},0.04714365395652631,2023-09-07 00:00,NE33 4RT,T,N,L,227,39,STANHOPE ROAD,CLEADON,SOUTH SHIELDS,SOUTH TYNESIDE,TYNE AND WEAR,A,A,-1.6510396614750884,0.9279588058881068
{09266DDC-2B00-AF90-E063-4704A8C02087},0.003694212938637264,2023-09-18 00:00,NE13 6LG,F,N,L,WEETSLADE COURT,46,DUNNOCK PLACE,WIDEOPEN,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A,-2.4050168035187403,0.9279588058881068
{09266DDC-2B01-AF90-E063-4704A8C02087},0.011777829872198015,2023-09-06 00:00,NE5 3YF,F,N,L,29,46,ST KEVERNE SQUARE,WIDEOPEN,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A,-2.2647419863943394,0.9279588058881068
{09266DDC-2B02-AF90-E063-4704A8C02087},0.10756869053489293,2023-09-04 00:00,NE16 5LY,T,N,F,22,46,LABURNUM GROVE,SUNNISIDE,NEWCASTLE UPON TYNE,GATESHEAD,TYNE AND WEAR,A,A,-0.6024854034701966,0.9279588058881068
{09266DDC-2B03-AF90-E063-4704A8C02087},0.025922138601695944,2023-08-31 00:00,NE6 5HE,F,N,L,55,FLAT 5,HEATON ROAD,SUNNISIDE,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A,-2.0192961251309205,0.9279588058881068
